time,open,high,low,close
2012-11-21T15:30:00+01:00,2919.14,2928.17,2912.42,2926.55
2012-11-23T15:30:00+01:00,2943.62,2967.19,2940.68,2966.85
2012-11-26T15:30:00+01:00,2961.02,2976.93,2951.73,2976.78
2012-11-27T15:30:00+01:00,2974.56,2985.32,2965.13,2967.79
2012-11-28T15:30:00+01:00,2952.02,2992.17,2935.88,2991.78
2012-11-29T15:30:00+01:00,3005.41,3017.18,2996.3,3012.03
2012-11-30T15:30:00+01:00,3013.25,3014.25,2999.72,3010.24
2012-12-03T15:30:00+01:00,3029.21,3030.28,2999.57,3002.2
2012-12-04T15:30:00+01:00,3000.44,3002.9,2980.93,2996.69
2012-12-05T15:30:00+01:00,2993.2,2994.73,2958.26,2973.7
2012-12-06T15:30:00+01:00,2967.99,2996.53,2962.02,2989.27
2012-12-07T15:30:00+01:00,2999.69,3003.27,2968.82,2978.04
2012-12-10T15:30:00+01:00,2973.19,2997.64,2971.56,2986.96
2012-12-11T15:30:00+01:00,3005.43,3033.14,3003.82,3022.3
2012-12-12T15:30:00+01:00,3033.93,3035.19,3008.49,3013.81
2012-12-13T15:30:00+01:00,3007.83,3026.51,2982.63,2992.16
2012-12-14T15:30:00+01:00,2976.95,2985.33,2963.8,2971.33
2012-12-17T15:30:00+01:00,2975.5,3011.22,2973.54,3010.6
2012-12-18T15:30:00+01:00,3020.82,3056.65,3016.4,3054.53
2012-12-19T15:30:00+01:00,3059.03,3061.82,3044.36,3044.36
2012-12-20T15:30:00+01:00,3050.3,3053.53,3034.15,3050.39
2012-12-21T15:30:00+01:00,2998.6,3022.19,2995.13,3021.01
2012-12-24T15:30:00+01:00,3013.89,3016.18,3008.53,3012.6
2012-12-26T15:30:00+01:00,3013.13,3018.65,2983.35,2990.16
2012-12-27T15:30:00+01:00,2989.87,2993.66,2951.04,2985.91
2012-12-28T15:30:00+01:00,2965.12,2985.47,2959.37,2960.31
2012-12-31T15:30:00+01:00,2955.45,3021.41,2953.52,3019.51
2013-01-02T15:30:00+01:00,3091.33,3112.65,3083.49,3112.26
2013-01-03T15:30:00+01:00,3108.49,3118.18,3092.28,3100.57
2013-01-04T15:30:00+01:00,3100.88,3108.44,3090.81,3101.66
2013-01-07T15:30:00+01:00,3089.17,3102.35,3083.88,3098.81
2013-01-08T15:30:00+01:00,3098.46,3103.39,3076.6,3091.81
2013-01-09T15:30:00+01:00,3099.65,3111.22,3096.34,3105.81
2013-01-10T15:30:00+01:00,3125.64,3127.72,3098.47,3121.76
2013-01-11T15:30:00+01:00,3122.12,3126.59,3114.1,3125.63
2013-01-14T15:30:00+01:00,3113.65,3123.48,3104.08,3117.5
2013-01-15T15:30:00+01:00,3101.06,3112.29,3093.32,3110.78
2013-01-16T15:30:00+01:00,3110.72,3124.65,3106.79,3117.54
2013-01-17T15:30:00+01:00,3130.49,3144.05,3125.79,3136
2013-01-18T15:30:00+01:00,3127.91,3134.73,3119.2,3134.71
2013-01-22T15:30:00+01:00,3135.63,3143.18,3121.54,3143.18
2013-01-23T15:30:00+01:00,3155.82,3161.06,3149.74,3153.67
2013-01-24T15:30:00+01:00,3125.67,3153.56,3124.45,3130.38
2013-01-25T15:30:00+01:00,3140.65,3156.2,3135.86,3149.71
2013-01-28T15:30:00+01:00,3152.17,3161.83,3144.89,3154.3
2013-01-29T15:30:00+01:00,3149.62,3156.94,3133.11,3153.66
2013-01-30T15:30:00+01:00,3157.43,3164.06,3135.83,3142.31
2013-01-31T15:30:00+01:00,3140.67,3154.18,3136.82,3142.13
2013-02-01T15:30:00+01:00,3162.94,3183.14,3154.91,3179.1
2013-02-04T15:30:00+01:00,3161.72,3169.63,3130.57,3131.17
2013-02-05T15:30:00+01:00,3140.9,3178.52,3136.82,3171.58
2013-02-06T15:30:00+01:00,3159.38,3174.82,3157.35,3168.48
2013-02-07T15:30:00+01:00,3167.44,3170.42,3135.98,3165.13
2013-02-08T15:30:00+01:00,3178.06,3196.89,3177.18,3193.87
2013-02-11T15:30:00+01:00,3192.53,3194.01,3182.19,3192
2013-02-12T15:30:00+01:00,3190.73,3196.92,3184.84,3186.49
2013-02-13T15:30:00+01:00,3195.34,3205.52,3187.06,3196.88
2013-02-14T15:30:00+01:00,3182.74,3202.33,3182.39,3198.66
2013-02-15T15:30:00+01:00,3202.84,3206.21,3184.03,3192.03
2013-02-19T15:30:00+01:00,3197.46,3213.6,3194.92,3213.59
2013-02-20T15:30:00+01:00,3211.99,3213.25,3163.95,3164.41
2013-02-21T15:30:00+01:00,3154.88,3155.19,3118.62,3131.49
2013-02-22T15:30:00+01:00,3149.09,3161.82,3139.55,3161.82
2013-02-25T15:30:00+01:00,3180.59,3186.25,3116.25,3116.25
2013-02-26T15:30:00+01:00,3126.23,3135.57,3105.36,3129.65
2013-02-27T15:30:00+01:00,3129.72,3177.8,3127.27,3162.26
2013-02-28T15:30:00+01:00,3161.43,3182.6,3159.72,3160.19
2013-03-01T15:30:00+01:00,3143.54,3171.5,3129.4,3169.74
2013-03-04T15:30:00+01:00,3159.46,3182.27,3154.79,3182.03
2013-03-05T15:30:00+01:00,3200.38,3227.31,3200.27,3224.13
2013-03-06T15:30:00+01:00,3233.31,3233.44,3217.67,3222.37
2013-03-07T15:30:00+01:00,3224.5,3235.1,3221.47,3232.09
2013-03-08T15:30:00+01:00,3245.85,3248.7,3227.89,3244.37
2013-03-11T14:30:00+01:00,3237.74,3252.87,3233.67,3252.87
2013-03-12T14:30:00+01:00,3244.85,3249.78,3229.92,3242.32
2013-03-13T14:30:00+01:00,3243.04,3251.45,3230.62,3245.12
2013-03-14T14:30:00+01:00,3253,3258.93,3250.24,3258.93
2013-03-15T14:30:00+01:00,3260.46,3260.62,3242.65,3249.07
2013-03-18T14:30:00+01:00,3215.71,3249.37,3211.1,3237.59
2013-03-19T14:30:00+01:00,3246.7,3252.6,3205.42,3229.1
2013-03-20T14:30:00+01:00,3251.91,3257.99,3240.9,3254.19
2013-03-21T14:30:00+01:00,3228.17,3237.57,3215.69,3222.6
2013-03-22T14:30:00+01:00,3235.3,3247.94,3230.86,3245
2013-03-25T14:30:00+01:00,3255.85,3263.63,3222.48,3235.3
2013-03-26T14:30:00+01:00,3249.95,3252.93,3239.92,3252.48
2013-03-27T14:30:00+01:00,3230.76,3258.26,3227.02,3256.52
2013-03-28T14:30:00+01:00,3257.32,3270.3,3253.21,3267.52
2013-04-01T15:30:00+02:00,3268.63,3270.23,3230.57,3239.17
2013-04-02T15:30:00+02:00,3252.55,3267.93,3245.41,3254.86
2013-04-03T15:30:00+02:00,3257.38,3260.15,3210.39,3218.6
2013-04-04T15:30:00+02:00,3219.11,3226.24,3206.02,3224.98
2013-04-05T15:30:00+02:00,3174,3206.21,3168.88,3203.86
2013-04-08T15:30:00+02:00,3207.15,3222.26,3195.57,3222.25
2013-04-09T15:30:00+02:00,3229.81,3249.95,3215.02,3237.86
2013-04-10T15:30:00+02:00,3246.06,3299.16,3245.8,3297.25
2013-04-11T15:30:00+02:00,3289.59,3306.95,3287.74,3300.16
2013-04-12T15:30:00+02:00,3292.39,3296.5,3271.02,3294.95
2013-04-15T15:30:00+02:00,3277.58,3283.4,3213.46,3216.49
2013-04-16T15:30:00+02:00,3239.05,3265.84,3231.45,3264.63
2013-04-17T15:30:00+02:00,3236.25,3236.98,3186.08,3204.67
2013-04-18T15:30:00+02:00,3212.24,3212.97,3154.96,3166.36
2013-04-19T15:30:00+02:00,3169.32,3210.03,3168.33,3206.06
2013-04-22T15:30:00+02:00,3217.4,3241.16,3198.74,3233.55
2013-04-23T15:30:00+02:00,3252.8,3275.89,3241.52,3269.33
2013-04-24T15:30:00+02:00,3262.21,3277.12,3255.44,3269.65
2013-04-25T15:30:00+02:00,3279.82,3301.28,3279.29,3289.99
2013-04-26T15:30:00+02:00,3284.07,3287.48,3268.03,3279.26
2013-04-29T15:30:00+02:00,3290.31,3315.34,3289.42,3307.02
2013-04-30T15:30:00+02:00,3308.05,3328.79,3298.58,3328.79
2013-05-01T15:30:00+02:00,3325.35,3330.02,3296.51,3299.13
2013-05-02T15:30:00+02:00,3306.15,3344.9,3305.81,3340.62
2013-05-03T15:30:00+02:00,3371.41,3388.12,3370.3,3378.63
2013-05-06T15:30:00+02:00,3382.33,3396.21,3381.44,3392.97
2013-05-07T15:30:00+02:00,3398.84,3402.24,3381.04,3396.63
2013-05-08T15:30:00+02:00,3394.89,3413.27,3389.8,3413.27
2013-05-09T15:30:00+02:00,3408.94,3428.54,3403.43,3409.17
2013-05-10T15:30:00+02:00,3414.84,3436.6,3411.59,3436.58
2013-05-13T15:30:00+02:00,3429.53,3447.1,3426.67,3438.79
2013-05-14T15:30:00+02:00,3439.72,3468.67,3439.72,3462.61
2013-05-15T15:30:00+02:00,3455.67,3475.48,3452.31,3471.62
2013-05-16T15:30:00+02:00,3473.16,3485.95,3462.24,3465.24
2013-05-17T15:30:00+02:00,3483.41,3499.2,3473.04,3498.97
2013-05-20T15:30:00+02:00,3490.46,3509.41,3488.13,3496.43
2013-05-21T15:30:00+02:00,3495.46,3512.15,3486.88,3502.12
2013-05-22T15:30:00+02:00,3503.48,3532.04,3446.96,3463.3
2013-05-23T15:30:00+02:00,3426.07,3467.13,3422.51,3459.42
2013-05-24T15:30:00+02:00,3438.28,3459.47,3429.31,3459.14
2013-05-28T15:30:00+02:00,3497.9,3514.8,3475.39,3488.89
2013-05-29T15:30:00+02:00,3471.67,3479.53,3450.4,3467.52
2013-05-30T15:30:00+02:00,3473.21,3503.82,3473.04,3491.3
2013-05-31T15:30:00+02:00,3478.22,3500.67,3455.84,3455.91
2013-06-03T15:30:00+02:00,3460.76,3465.84,3419.39,3465.37
2013-06-04T15:30:00+02:00,3467.02,3482.75,3430.02,3445.26
2013-06-05T15:30:00+02:00,3432.85,3446.15,3397.91,3401.48
2013-06-06T15:30:00+02:00,3404.41,3424.05,3378.24,3424.05
2013-06-07T15:30:00+02:00,3437.84,3471.73,3429.43,3469.22
2013-06-10T15:30:00+02:00,3475.68,3484.81,3465.54,3473.77
2013-06-11T15:30:00+02:00,3436.62,3466.57,3426.57,3436.95
2013-06-12T15:30:00+02:00,3458.14,3459.18,3395.91,3400.43
2013-06-13T15:30:00+02:00,3398.54,3451.03,3387.61,3445.37
2013-06-14T15:30:00+02:00,3442.31,3448.4,3419.32,3423.56
2013-06-17T15:30:00+02:00,3449.97,3468.56,3436.34,3452.13
2013-06-18T15:30:00+02:00,3456.29,3488.31,3456.09,3482.18
2013-06-19T15:30:00+02:00,3483.59,3485.45,3443.2,3443.2
2013-06-20T15:30:00+02:00,3405.14,3412.94,3355.93,3364.63
2013-06-21T15:30:00+02:00,3367.81,3377.3,3326.86,3357.25
2013-06-24T15:30:00+02:00,3326.37,3344.66,3294.95,3320.76
2013-06-25T15:30:00+02:00,3350.59,3358.31,3327.69,3347.89
2013-06-26T15:30:00+02:00,3375.7,3383.7,3365.48,3376.22
2013-06-27T15:30:00+02:00,3395.79,3412.79,3395.41,3401.86
2013-06-28T15:30:00+02:00,3389.3,3422.2,3382.75,3403.25
2013-07-01T15:30:00+02:00,3430.48,3454.43,3430.31,3434.49
2013-07-02T15:30:00+02:00,3430.69,3453.29,3415.23,3433.4
2013-07-03T15:30:00+02:00,3420.27,3455.42,3417.88,3443.67
2013-07-05T15:30:00+02:00,3468.48,3479.46,3441.78,3479.38
2013-07-08T15:30:00+02:00,3493.81,3495.51,3475.39,3484.83
2013-07-09T15:30:00+02:00,3501.25,3508.81,3484.79,3504.26
2013-07-10T15:30:00+02:00,3502.11,3522.99,3502,3520.76
